data__name,data__center_lng,data__center_lat
52,-74.085396,40.7088465
24,-74.0452775,40.726574
56,-74.0915175,40.705998
9.02,-74.0624735,40.7413285
43,-74.071393,40.7167945
14,-74.0521285,40.7344765
1,-74.051853,40.756569
4,-74.0585605,40.7497575
5,-74.051083,40.750103
7,-74.047071,40.745939
8,-74.0440585,40.7441405
11,-74.054547,40.7407155
12.02,-74.0554435,40.7321935
13,-74.047038,40.7382325
18,-74.069906,40.7343715
19,-74.062467,40.7331025
20,-74.0653655,40.730989
27,-74.0826905,40.7314685
48,-74.09426,40.7189985
63,-74.0918995,40.6899605
54,-74.100867,40.7079165
58.01,-74.082866,40.6992995
59,-74.0955055,40.7027905
60,-74.0890735,40.698604
62,-74.094895,40.6961025
55,-74.0837135,40.704454
61,-74.100099,40.6939815
17.01,-74.0772935,40.736269
76,-74.031648,40.720415
29,-74.0695455,40.728334
30,-74.067403,40.72432
41.01,-74.0761505,40.7220635
42,-74.0793335,40.71792
44,-74.0766195,40.71438
45,-74.07222,40.71102
53,-74.075351,40.7042155
40,-74.088653,40.7258695
41.02,-74.071066,40.719746
46,-74.066861,40.7098605
2,-74.047725,40.753531
3,-74.0423415,40.751051
6,-74.0529225,40.745921
22,-74.050809,40.724842
12.01,-74.0560215,40.736765
47,-74.063392,40.708569
49,-74.0850785,40.7136865
31,-74.064074,40.721999
35,-74.04893,40.7198075
28,-74.0732895,40.7266375
68,-74.079444,40.7105825
66,-74.058198,40.725267
74,-74.0324505,40.713355
77,-74.0321875,40.729995
70,-74.043573,40.7225285
78,-74.0455035,40.7305965
75,-74.039231,40.715959
9801,-74.0466355,40.698139
64,-74.046447,40.718248
65,-74.0508855,40.721414
67,-74.061217,40.717993
69,-74.067565,40.753528
71,-74.0583745,40.728344
72,-74.0477325,40.728519
73,-74.0472755,40.713518
23,-74.047693,40.7239295
10,-74.059014,40.7446875
58.02,-74.067245,40.682014
