tract_id,census_name,imp_percent,imp_score,flood_score,green_score,greenview_index,storwater_managed,treecountestimate,overall_score
0,    Census Tract 55,89.41900376,1,3,0,1,0,0,1.333333333
1,    Census Tract 66,85.71262849,1,3,5,23.35966319,432000,540,3
2,    Census Tract 72,67.82678785,2,0,5,21.00190014,417600,522,2.333333333
3,    Census Tract 23,91.55261081,0,3,0,1,0,0,1
4,    Census Tract 24,79.87352498,1,3,5,27.62434896,73600,92,3
5,    Census Tract 2,94.46576626,0,3,0,7.198891782,460800,576,1
6,    Census Tract 7,93.31952941,0,3,0,15.11992457,324800,406,1
7,    Census Tract 62,88.76231008,1,3,5,28.83340686,312800,391,3
8,    Census Tract 44,90.61985266,1,3,0,1,0,0,1.333333333
9,    Census Tract 41.01,86.58022509,1,3,5,37.09473259,1447200,1809,3
10,    Census Tract 8,77.2696177,2,0,3,13.06671769,548800,686,1.666666667
11,    Census Tract 59,90.99630498,1,0,3,12.91699067,1926400,2408,1.333333333
12,    Census Tract 43,92.21772757,0,1,0,15.26182465,672000,840,0.333333333
13,    Census Tract 6,89.40953565,1,3,3,12.06896701,268800,336,2.333333333
14,    Census Tract 5,91.47137799,0,3,0,8.440559593,481600,602,1
15,    Census Tract 10,92.97499879,0,3,3,11.64770115,324800,406,2
16,    Census Tract 78,88.01964031,1,1,3,12.12522804,414400,518,1.666666667
17,    Census Tract 1,89.10356136,1,1,0,15.58238014,817600,1022,0.666666667
18,    Census Tract 52,86.73598242,1,3,3,11.72983902,123200,154,2.333333333
19,    Census Tract 47,72.15782336,2,1,0,15.94678675,1612800,2016,1
20,    Census Tract 40,40.42322604,4,1,5,23.17431669,5299200,6624,3.333333333
21,    Census Tract 35,91.28285913,0,0,0,1,0,0,0
22,    Census Tract 48,66.99355619,2,1,2,11.33338435,1097600,1372,1.666666667
23,    Census Tract 49,90.07503221,1,3,3,14.14850321,728000,910,2.333333333
24,    Census Tract 19,91.06044414,0,3,2,9.326611111,504000,630,1.666666667
25,    Census Tract 61,82.521028,1,0,0,14.38276555,795200,994,0.333333333
26,    Census Tract 42,90.30084366,1,3,2,8.885292969,179200,224,2
27,    Census Tract 41.02,90.1208626,1,3,0,15.51658333,616000,770,1.333333333
28,    Census Tract 73,53.00235018,3,0,2,11.41907697,403200,504,1.666666667
29,    Census Tract 64,89.05110947,1,1,5,20.54208333,28800,36,2.333333333
30,    Census Tract 14,90.85441602,1,3,2,10.31357372,291200,364,2
31,    Census Tract 56,92.85348323,0,1,0,6.916698289,358400,448,0.333333333
32,    Census Tract 3,83.33101458,1,0,5,17.23473958,806400,1008,2
33,    Census Tract 12.02,74.5729565,2,0,2,11.14207552,448000,560,1.333333333
34,    Census Tract 60,85.92911092,1,3,2,11.51208333,168000,210,2
35,    Census Tract 67,83.88895597,1,3,5,22.36270738,1569600,1962,3
36,    Census Tract 20,95.13273536,0,3,2,9.508067308,728000,910,1.666666667
37,    Census Tract 46,85.57916444,1,0,3,13.74280996,918400,1148,1.333333333
38,    Census Tract 27,62.55825745,3,1,3,14.22994536,683200,854,2.333333333
39,    Census Tract 29,89.23017004,1,3,0,5.631324405,44800,56,1.333333333
40,    Census Tract 53,80.77868014,1,1,0,15.49212719,425600,532,0.666666667
41,    Census Tract 22,90.32936271,1,1,0,5.980416667,6400,8,0.666666667
42,    Census Tract 12.01,94.2332607,0,3,0,5.91514974,204800,256,1
43,    Census Tract 4,87.676266,1,1,3,12.95531723,246400,308,1.666666667
44,    Census Tract 71,77.84749676,2,0,0,15.95778112,929600,1162,0.666666667
45,    Census Tract 75,91.09257746,0,3,5,22.87635081,446400,558,2.666666667
46,    Census Tract 11,73.32475228,2,3,0,15.5591442,571200,714,1.666666667
47,    Census Tract 70,87.25403027,1,3,0,1,0,0,1.333333333
48,    Census Tract 68,86.19153041,1,3,0,15.33775362,515200,644,1.333333333
49,    Census Tract 30,91.12929128,0,3,3,12.4959233,246400,308,2
50,    Census Tract 69,62.79670348,3,1,2,8.917771893,660800,826,2
51,    Census Tract 28,89.34020265,1,3,5,17.42868056,168000,210,3
52,    Census Tract 54,39.17642077,4,0,2,11.02448351,537600,672,2
53,    Census Tract 31,86.79237798,1,1,0,7.127708333,32000,40,0.666666667
54,    Census Tract 18,93.11136852,0,3,2,11.60977307,627200,784,1.666666667
55,    Census Tract 63,71.07456442,2,1,5,19.24662469,964800,1206,2.666666667
56,    Census Tract 65,88.61526096,1,0,2,11.4775,235200,294,1
57,    Census Tract 58.01,76.86794625,2,1,5,16.77912952,1444800,1806,2.666666667
58,    Census Tract 45,81.9185622,1,1,0,15.30573847,627200,784,0.666666667
59,    Census Tract 9.02,81.72533837,1,0,0,14.25776326,616000,770,0.333333333
60,    Census Tract 17.01,82.43127859,1,1,3,13.59944551,728000,910,1.666666667
61,    Census Tract 13,73.10627847,2,1,3,11.66482527,347200,434,2
